,ID,comment,like_num
0, Ji na  ,삼성은 기억하라!!! 사람들은 !!!! 디자인에 약하다!!!!!!!!!!,"
        18
      "
1, kakakk oau  ,용달 블루 색상 뽑던 삼성이 맞나?가슴이 웅장해 진다,"
        123
      "
2, IKO SE  ,근데 색깔좀 약간 아이폰11처럼 파스텔톤의 뽀샤시한 색깔 좀 낼 수 없나..? 맨날 중후한 색 아니면 너무 튀는 색만 내는듯..,"
        169
      "
3, 중붕이  ,s6감성의 광고도 만들어줘...기능도 좋지만 이제 삼성은 감성을 팔아야 할 거 같아...,"
        104
      "
4, 홍신연  ,태어나지못한 11 12 13 14 15 16 17 18 19 의 저주로 인덕션이 저리 커지고 카툭튀도 툭 튀어나온건가... 색은 참 이쁘다,"
        56
      "
5, 앙추워  ,울트라만 진짜 노트... 그냥 노트 가격 오른거라고 봐야함,"
        95
      "
6, NoSee LongTime  ,영화관에서 자주 보겠군,"
        72
      "
7, lecwin1  ,기울어진 운동장 에디션... ㅋㅋㅋㅋ,"
        10
      "
8, 김가은  ,이거 ㄹㅇ 실물로보면 카툭튀 개오진대요,"
        3
      "
9, 임재현  ,ㅅㅂ 노트20을 보급폰으로. 만들어버리네.....,"
        26
      "
10, 가현  ,노트10이나 벨벳처럼 카메라부분만 튀어나오게 하고 플래시랑 센서까진 안 튀어나오게 할 순 없었나?색은 예쁨,"
        17
      "
11, 백경 1016  ,버즈 라이브만 볼땐 색이 이상했는데 노트를 보니 이뻐보이네..,"
        36
      "
12, 아린인서울  ,썸네일 색감이 너무 예쁘다 약간 왕관느낌이라해야되나,"
        43
      "
13, HOLY SNOW  ,카툭튀 진짜 개에반데ㅋㅋㅋㅋ 디자인팀 뭐하냐 진짜,"
        16
      "
14, 우리엄마  ,카툭튀 ㄹㅇ 실화냐ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,"
        18
      "
15, 김예준  ,다좋은데....울트라하고 일반 급나누기가 너무 심한거같음....,"
        48
      "
16, 이지연  ,카툭튀보고 내 노트10플러스를 칭찬한다,"
        3
      "
17, DINO gaejjeoneun  ,s30쯤가면 카툭튀두께랑 폰두께랑 비슷해질듯ㅋㄱㅋㄱㅋㅋ,"
        1
      "
18, 와맙소사  ,난 줌필요도없고.. 노트10플 사길잘했다 후,"
        39
      "
19, 김희진  ,우와... 갖고싶어요 삼성 대박 쩔어,"
        2
      "
20, GAM YUN  ,오 쉿 노트 10플러스 사놓길 잘했다 ㅋㅋㅋ,"
        30
      "
21, 형민  ,근데 노트 콘텐츠가 이젠 다 떨어져가나봐왜 이전이랑 똑같은거 같냐,"
        31
      "
22, 두두  ,카톡튀 너무 심한데 그냥 노트20 울트라랑 스펙차이도 심하고 아니면 노트20 99만원이라고 하면 진심 대박이라고 할텐데 아쉽,"
        1
      "
23, 백련  ,이거 이번에 예약했는데 화이트가 진짜 예쁘더라구요 ㅎ 근데 개인적으로 카툭튀 너무 심해요 .. ㅠ,"
        1
      "
24, 룽지누  ,이번에 색깔은 진짜 예쁘게 잘 뽑았다고 생각해요. 브론즈인가 금색 존예ㅠㅠㅠㅠ,"
        1
      "
25, 라라  ,"폰 색 이쁜거 좀 내줬으면,, 삼성 폰색 누가 내는 거?","
        1
      "
26, 후독  ,디자인이 어케 가면갈수록 파국이누,"
        3
      "
27, 햄도그  ,진짜 나머지는 너무 좋고 만족하거든요 삼성페이사랑하고요카툭튀랑 인덕션이ㅠㅠ..........렌즈 한개만 있어도 잘 쓸 수 있는데.... . . .,"
        33
      "
28, 이름  ,이번 갤노트20 카메라 카툭튀 말고는 괜찮게 나온듯 브론즈 색깔도 예쁘고 링처리도 자연스럽게 했고,"
        1
      "
29, Recircle  ,고동진 사장 다시 데리고와ㅠㅠ,"
        0
      "
30, 최규현  ,카툭튀 ㅈㅈ,"
        1
      "
31, 악동데빌  ,미안하다 카툭튀 보여주려고 어그로 끌었다,"
        1
      "
32, Hoon Park  ,구......구려!!!,"
        2
      "
33, ..  ,별로임 카툭튀 초록색은 애플이 더 예쁜거가타요...,"
        5
      "
34, ᄋᄋ  ,색깔 넘흐 이뻐ㅠㅠ,"
        0
      "
35, 민트초코의 한  ,울트라랑 노트랑 완전 다르잖아요. 그냥 갤럭시 노트 20 울트라라고 말해주세요.,"
        12
      "
36, 우주최강와꾸GAMES TV_먹방채널  ,진짜 멋지다,"
        0
      "
37, 김대현  ,와 왜캐 이뻐,"
        1
      "
38, Seung-jae Lee  ,고사장님 그립습니다ㅜㅠ돌아와요,"
        1
      "
39, 아노피  ,바꾸고 싶어도 좆도 비싼 5G요금제 으악 내눈을 외치게 만드는 카메라...제발 인덕션 같은 디자인 버리자ㅜㅜ,"
        1
      "
40, jiu jitsu player MMA life  ,아직 노트10 할부 많이 남았어용... ㅠㅠ,"
        0
      "
41, 이미란  ,"ㄷ.ㄷ,ㄴ.ㅊ.ㄷ.ㄴ.ㅌㆍ.ㅌ,ㆍ튼.","
        0
      "
42, 로겐  ,문제는 저 브론즈 판대기가 플라스틱이라는 점ㅋㅋㅋㅋ,"
        4
      "
43, 어 님 폰에 머리카락 붙은듯  ,와 진짜 노트충이여서 노트만 보면 환장을 하는데 진짜 ㄷㄷ 지금 노트10+쓰고 있찌만 너무 탐나는걸...,"
        0
      "
44, 박심바  ,이번엔 바꿀만한 차이를 만들어냈네,"
        1
      "
45, 뚝빼기깨기  ,카툭튀...,"
        1
      "
46, 최승은  ,...11프로 사두길 잘했네...,"
        1
      "
47, is예징  ,와..노트10 산게 신의한수다...,"
        0
      "
48, mw  ,모바일 사업부 관짝 닫는 제품ㅋㄱㄱㄱㄱ,"
        0
      "
49, 김보민  ,솔까 노트20은 노트도 아님ㅋㅋ 걍 노트20 울트라만 사라는거임ㅋㅋ 근데..사고 싶긴한데 카툭튀좀.. 이번 노트20은 이렇게 넘어가고 다음 노트는 카툭튀없애자.. 그리고 차이좀 줄이자..,"
        1
      "
50, 박정빈  ,이번에 색깔 진짜 이쁘게 잘뽑은듯 ㄷㄷ,"
        24
      "
51, 찹쌀떡  ,카툭튀 대체 왜 그랬어..,"
        0
      "
52, 소박하지만행복해  ,카툭튀는 케이스안끼고다니면 카메라 파스슥 ㅎㅎㅎㅎ,"
        0
      "
53, 충모  ,노트 똥이다 에스20이 훨씬좋아!!,"
        0
      "
54, 민준  ,이번 시리즈는 건너 뛰는게 답ㅋㅋ 실물로 봤는데 카툭튀만 ㅈㄴ 심함ㅋㅋㅋ 나도 그냥 애플로 갈아탈까싶기도하고.. 점점 초심을 잃어가는 듯,"
        0
      "
55, 라떼는말이야  ,삼성은 감성이 없다.,"
        1
      "
56, dnel tprem  ,갤시리즈10 만해도 좋아서 굳이 이제 새로운 스마트폰으로 바꿀 이유가 없다,"
        0
      "
57, ND MC  ,z플립 2 존버합니당.. 방수방진 제발 ㅠㅠ,"
        0
      "
58, 꺽이  ,2일만에 400만 조회수 ㄷㄷ,"
        0
      "
59, JJANG KIM  ,요샌 광고를 잘 못하는 느낌 감성광고 시급,"
        7
      "
60, Chydong쳬동  ,카툭튀 줄일수카툭튀 줄일수도 있었는데 왜그랬냐....,"
        0
      "
61, 흠터레스팅  ,카메라가 s20은 인덕션같았는데 이번건 그래픽카드같다ㅋㅋㅋ 3열팬ㅋㅋ,"
        43
      "
62, 김은경  ,조카민재 드론영상 작품이네~~^^Good!!~~,"
        0
      "
63, 정재민  ,잘봤습니다 다음폰은 노트10으로 가겠습니다,"
        24
      "
64, 끽다거야라즈노아메  ,용달 블루 vs 다라이 레드 vs 요강옐로,"
        1
      "
65, tuber you  ,드디어 폰 바꿀 때가 되었구만ㅋ,"
        0
      "
66, 네다음퍼거  ,공기계로 하나 장만하고싶다(..) 하지만 100만원대 이상 일것 같은(...),"
        0
      "
67, Hyunsun Lee  ,0:00계속 누르면 총소리 같음,"
        3
      "
68, ᄋᄋᄋ  ,카메라 조금만 더 작게 만들었음 했다 ㅠㅜ 실물로 보니 카메라가 ㄹㅇ 흉기임,"
        0
      "
69, 어흥  ,카툭튀...어쩔...,"
        0
      "
70, Panda YouTube  ,내 폰을 노트9인데..... 노트20이 나왔네....,"
        0
      "
71, 애니채널 지소다  ,우리집노트는  4500원인데  저건 얼마냐?,"
        1
      "
72, 유승호  ,광고 잘 봤습니다^^아이폰 12존버 타야겠네요삼섬화이팅^^~,"
        0
      "
73, ᅳ위대한 뚝배기  ,노트20 울트라 화이트 진짜 이쁘던데실물로 보고 싶네요 ㅎㅎ,"
        5
      "
74, 박주현  ,처음에 s9+ 썬라이스 골드 광고인줄ㅋㅋ,"
        0
      "
75, 아린인서울  ,0:03 샴푸광고인줄,"
        3
      "
76, expedition ROS  ,tv에서 겁나 나올듯..,"
        0
      "
77, 김준형  ,광고대행사 : 제일기획광고주 : 삼성 전자,"
        29
      "
78, 콜라bear  ,그럴일은 없지만 순간 처음 장면에서 핸드폰이 테이블 아랫면에 붙어있는 줄 알았어요,"
        164
      "
79, 별YouTubeū여포ū  ,근데 노트20 언제 출시 되요 정확히?,"
        0
      "
80, 종볼리  ,광고가 왤케 산만해,"
        1
      "
81, Beloved Z  ,금색이라니ㄷㄷㄷ,"
        0
      "
82, 베리베리  ,고급스럽다,"
        1
      "
83, HoRoo  ,아니 다른폰도 다되는 기능말고 새로운거좀 알려주지,"
        18
      "
84, U MR  ,해해 노트10플 사길잘했당,"
        0
      "
85, 노노력하지는 않지만-.-  ,쓰ㅡㅡㅡ읍,"
        1
      "
86, 익명.  ,카툭튀...,"
        0
      "
87, 일구28 username  ,노트21 존버한다,"
        0
      "
88, chanchanny 1004  ,앱등이 좋아요,"
        1
      "
89, 이재용  ,노트10+에 스냅865+만 넣어줘도 살텐데,"
        0
      "
90, 윤_  ,전 애플로 갑니다 ㅃㅇ,"
        0
      "
91, 계정감상용  ,노트20 120Hz 미지원 후면 플라스틱... 그러면서 가격은 999불이라니삼성 왜 그래요 진짜,"
        17
      "
92, TMI -  ,우와..,"
        0
      "
93, Yunseo Lee  ,최대 승리자: N10 출시하자마자 산 사람기분 좋은사람: S20 시리즈 구매자,"
        16
      "
94, 팔도비빔년  ,노트9과 같이 무덤 가려고요~,"
        0
      "
95, song 2  ,음...색상 때문에 별로다 요번에 삼성 말구 애플로 핸드폰 바꿀걸ㅠㅠ,"
        0
      "
96, 후후후  ,노트 9하고 10나온지가 몇안됐는데 하나 더 나왔냐ㄷㄷㄷㄷ삼성 대단해,"
        0
      "
97, 강정모  ,주님! 뜨거운 감동과 은혜 감사드립니다 영광할렐루야!,"
        0
      "
98, 최민서  ,삼성아 더 예쁜색깔 넣고 기능 광고도 해도 되는데 제발 감성을 좀만더 부각시켜라 그럼 진짜 많이 팔릴텐데ㅠㅠㅠㅠ,"
        5
      "
99, 최기수  ,삼성 휴대폰 기술력 인정 한다,"
        0
      "
100, 이미란  ,"ㄷ.ㄷ,ㄴ.ㅊ.ㄷ.ㄴ.ㅌㆍ.ㅌ,","
        0
      "
101, 조덕호  ,추ㄴ 밑에서 열심히 × 다가  승진한 검사 ㄴ 들 다 ㅈ 떼버려라.,"
        0
      "
102, 동완  ,카툭튀뭐야 ?,"
        0
      "
103, 와  ,노트10이 s20보다 좋음?,"
        0
      "
104, kj gee  ,내가 저 노트인건가?,"
        0
      "
105, No Nick  ,노트20이 어떻게 호라이즌4를 돌리죠?,"
        0
      "
106, John Hong  ,음악이 피파4 20토티 나왔을때랑 똑같은거 같은데 기분 탓인가?,"
        0
      "
107, 방제이스  ,노트9도 좋아요...,"
        0
      "
108, 미니TV  ,영상이 재밌네요,"
        0
      "
109, Ji na  ,삼성의 한계는 어디인가...,"
        0
      "
110, ᄋᄋ  ,역대급 카툭튀,"
        0
      "
111, 냥!  ,사고싶다 후...하...후..욱..,"
        7
      "
112, 은이  ,컬러 진짜 이쁘다... 세련되고 고풍적이야...😭,"
        2
      "
113, 우아  ,고급지다! 🤭,"
        5
      "
114, 유준형  ,홈페이지에 노트 광고 아이폰se 광고랑 너무 비슷하네요...,"
        0
      "
115, ᅫᅰ  ,모든 세상이 노트 안에를 모든 세상이 노예로 봤다...하 내눈 일상 생활 가능?,"
        8
      "
116, in4 J  ,웃긴건 광고모델들 전부 아이폰쓴다 ㅋㅋ,"
        0
      "
117, UNCHAIN 7  ,카툭튀 오지던데,"
        0
      "
118, 나혼자한다TV  ,노트20울트라로 브이로그 찍었습니다 카메라 궁금한분들 참고하세요!,"
        0
      "
119, 위도우메이커  ,S20+있어서 딱히,"
        0
      "
120, 장해룡  ,과연 산다면 울트라를 사야하는데 150만원대 핸드폰을 사용할 가치가있을까?....;,"
        5
      "
121, 챔챔  ,근데 진짜 bts버젼 색깔도 이뻤는데 그색깔로 내주지,"
        0
      "
122, 무적의금융체스플레이어  ,갤럭시 노트 20 정말 잘 나왔네요. 노트20 바로 사러가기 https://coupa.ng/bH0Xrn,"
        0
      "
123, да да  ,광고 잘 봤습니다 노트10 계속 씁니다^^ 삼성화이팅!,"
        58
      "
124, S S  ,신제품 출시 축하 드립니다. 이번에도 엑시노스는 빠졌네요.  빠질 수 밖에 없는 근본 원인과 해결책은 알고 있습니다. 나중에 기회가 될 때 알려 드릴께요. 삼성 힘내라!,"
        0
      "
125, 이우성  ,노트는 50배줌인가보네....,"
        0
      "
126, 조퍼맨  ,와...  개별로다 삼성 아이폰처럼 못만드나 인덕션도 존내 이상하네,"
        4
      "
127, Carl von Clausewitz  ,플랫한 노트20이 갖고싶네..,"
        0
      "
128, 보노보노  ,아니 아이폰11보다 더 인덕션 같노 ㅋㅋㅋㅋㅋ 라면 끓여먹어도 되겠다,"
        15
      "
129, 작은키  ,수능 D-119,"
        1
      "
130, 라파엘  ,너무 딱딱한데... 컨셉도 s10 로얄골드랑 겹치고 고급스럽게 만들긴했는데 으음... 비싸.....,"
        0
      "
131, ᄏᄒ린네  ,내 친구 노트10+인데 이거보고 후회 안한데..카툭튀가 점 에바...,"
        0
      "
132, 수박  ,좋아보이네요.,"
        0
      "
133, 루비루미  ,s펜 왼쪽에 있는거...좀 별로다..ㅠ,"
        0
      "
134, 윤마  ,근데 이해가 안가는게 노트19도 아직 안 나왔는데 갑자기 노트20이 나오니깐...,"
        0
      "
135, siamese cat  ,카메라 튀어나온 거 누가 사냐.,"
        0
      "
136, 이성혁  ,멋있다...,"
        0
      "
137, 이재진  ,0:12에 나오는 게임 무슨 게임인가요?,"
        1
      "
138, ᄋᄋ  ,난 a31인데 쩝,"
        0
      "
139, oasis  ,습트라 ㅋ,"
        0
      "
140, 젤리  ,예쁘다고 하시는분들 반어법인가요 진심으로 하시는 말인가요? 정말 궁금해서요,"
        2
      "
141, 예진  ,모야 안예뻐,"
        0
      "
142, 이하민  ,이번에 색깔 진심 잘뽑은듯 ㄷㄷ 브론즈에 무광처리가 가미되니까 고급스러움,"
        2
      "
143, The Man_tp  ,노트 펜 위치가 왼쪽이라 좀 불편할듯,"
        0
      "
144, 소소  ,색상 저렇게 촌스럽게 뽑기도 힘들텐데 삼성은 왜 저렇게 색상을..,"
        0
      "
145, 띵디동  ,아이폰 12로 갈아타려고 존버하다가 노트로 간다!,"
        0
      "
146, 동네형  ,0:07 프리미어리그 비슷하죠..?,"
        1
      "
147, 최창원  ,다음엔 30 인가? 어떻게 11이 아니고 20 으로 바로 뛰지?,"
        0
      "
148, Tim Ko  ,내년 노트 잘 기다리라는 삼성의 큰그림,"
        2
      "
149, yena shim  ,아..이번에 노트쓰다가 s20+ 샀는데 걍 기다리다 이걸로 살걸 후회중ㅠㅠ,"
        0
      "
150, 꼬미아빠  ,이은정을 검찰청장 추대요,"
        0
      "
151, 깊카이벤트 채널  ,삼성폰 오진다,"
        0
      "
152, 시간  ,8월 6일 14시 18분,"
        0
      "
153, -은혁h  ,오늘 삼성서비스센터에 가서 직접 봤는데 카툭티 너무 심하고 뒷판 보강이 필요할듯,"
        6
      "
154, 원사입니다만  ,갤럭시 s20도 그렇고 요즘폰은 직사각형 안에 카메라 존내 쳐박는듯,"
        0
      "
155, 0Atlantis 0  ,오늘 사전예약 구매했는데 개인적으로 카툭튀 빼고는 디자인이 무난하더군요.,"
        0
      "
156, 수  ,가격은 모르겠고나 노트10쓰는데너무좋아  다음에도 또사야지,"
        0
      "
157, 장정민  ,나 오늘샀는데,"
        0
      "
158, 0o0 YSM  ,결론 난 잘 모르겄다,"
        0
      "
159, 쿠쿠쿨  ,싸....싸산다,"
        0
      "
160, 은재  ,s펜 위치 가만히있다가 왜 바꿈? 적응안되게,"
        0
      "
161, 출제자P  ,삼성은 디자이너들만 다 짜르고 새로 뽑으면 될듯,"
        50
      "
162, You hub  ,디자인팀 없이 디자인한듯,"
        0
      "
163, ᄋᄋᄋᄋ  ,카메라보고 빽함,"
        0
      "
164, 비공개  ,12월에 폰 바꾸는데 여태쓰던 갤럭시로 바꿀까  아님 아이폰을 한번 써볼까..앞으로 광고 자주 보겠군,"
        0
      "
165, 꽃응자  ,광고는 갤럭시노트20라고 해놓도 왜 급차이를 두냐..120만원짜리 플라스틱.. 거기에 다이내믹 아몰레드는 어따 갖다버리고; 참 노트20이라 부르기도 민망한 스펙.. 대놓고 울트라 사라 시리즈임,"
        21
      "
166, 고마워요대장  ,에전에는 와~ '빨리바꾸고싶다'요즘에는 와~ '고작 저거바꼈어'?,"
        11
      "
167, YJFilm  ,개인적으로 이번거 뭔가 색감이 괜찮아보이네요.갤럭시버즈라이브 갖고 싶어요~ㅠ,"
        10
      "
168, HyunWoo Oh  ,노트10이 광고도 훨 고급짐,"
        10
      "
169, ⃢귀염 ⃢귀염 ⃢열매 ⃢  ,오우 갖고싶다 하 약정노예 ㅠ,"
        7
      "
170, 또봇D  ,갑자기 삼성하니까 아는 삼촌이 기억나네요,"
        0
      "
171, x s  ,나왔다,"
        4
      "
172, 아노멜로  ,진짜 색 너무 잘뽑았어....,"
        8
      "
173, 쨩쨩초딩  ,난 그냥 s30 나올때 사야지,"
        0
      "
174, 흰산  ,마스터이 마렵네,"
        0
      "
175, MUKYU kim  ,얼만고?,"
        0
      "
176, Yong Jin Kim  ,어머니한테 노트10 사시라고 하길 정말 잘했다,"
        12
      "
177, 문노스  ,근데 요즘 3 4년폰이랑 비교해서 더 좋아진게 뭔데? 난 노트9쓰는데 최신폰 몇번 만졉핫는데 좆도 다른게없더라,"
        1
      "
178, Jung Ja Cho  ,김동길,"
        0
      "
179, 게임채널  ,중간에 아재 목소리거슬린다...,"
        1
      "
180, 최수정  ,"ㅜㅜ골드 , 로즈골드 이제 골드 제발 버리고 화이트 , 실버색상 ,  무광블랙 , 은갈치색 펄들어간진주색 뽑아주세요 골드 촌스러워요 ㅜ 이쁜것도 전혀모르겠고 로즈골드도 마찬가지에요 중후한건 좋은데 영한색상은 아닌것같아요 예를들면 금목걸이느낌ㅜ ...이번에 노트 엣지없으면 사려고 했는데  s10쓰는데 엣지 노답이에요 엣지부분 필름 다 안붙여져서 충격 다 흡수하고 케이스 했는데도 결국 모서리부분 깨졌어요 엣지없는 버전으로도 노트 출시해주세요 날렵하고 각진 디자인도 좋을 것 같아요","
        1
      "
181, 김덕식  ,멋있다,"
        0
      "
182, 소연  ,200g 언저리 핸드폰.. 너무 손목아파요.. 가벼운 핸드폰으로 사려고 존버중 입니다. 제발 가벼운 핸드폰 출시해주세요..,"
        1
      "
183, 김영윤  ,흠...이번에는 걸러야겠군...,"
        0
      "
184, 기러기  ,벨벳이나 노트나 왜 런웨이를 하지....,"
        2
      "
185, 딸바보아빠  ,아아,"
        0
      "
186, 강동주  ,"이거 카메라 그냥 아이폰11pro 카메라 세개 일렬로 넣은거랑 똑같은데,,?","
        0
      "
187, 이정란  ,남 비싸요,"
        1
      "
188, 5 67  ,써보기전엔 모르는거지만 9->10만큼의 변화는 아닌거같다실망보단 드디어 휴대폰혁신이 사그라드나 싶어서 감격이네,"
        0
      "
189, 아아아아  ,엣지 넣어서 베젤은 존나 얇아 보일거 같네,"
        0
      "
190, 구구성혜  ,노트10쓰는호구들노트20비교비판하지말길,"
        0
      "
191, 홍수민  ,골드바인줄,"
        0
      "
192, 이준혁  ,ㅇㄴ노트10몇개월 전에 샀는데 20이나오냐너무 빠른거아님?,"
        0
      "
193, 돼지  ,아니 디자인 왜이래,"
        0
      "
194, 표영숙  ,조금전에  번지점프  하는것  재방송  봣어요나이도  어린데  씩씩  하게  잘  하셨어요  귀엽기도 하고요  네분도  도  다하셨구요  챤원씨 형님들 어게  뒤지지않고  잘맞추어  가는 모습이 너무 좋습니다건강하세요♡☆♡,"
        0
      "
195, 고수라  ,.나두요,"
        0
      "
196, 철맨  ,놑20카툭튀~ 노트는 10+까지 s는 s20+까지 디자인이 좋네요 무엇보다도 폴드가 기대중이에요 사지는 못해도,"
        2
      "
197, 강력한스프링  ,아니 그래서 이번에는 무슨 외계인을 고문하셨을까?,"
        0
      "
198, 아폴로눈병  ,광고 초반부분처럼 골드 색상이었으면 샀다,"
        0
      "
199, C2F  ,무슨 노래에요,"
        0
      "
200, 룰루。  ,엄... 색 좀 이쁘게 뽑아보시면 안되나요 아우라 글로우까진 마음에 들었는데..,"
        0
      "
201, 채소  ,흠 s20플러스 사길 잘했다,"
        0
      "
202, 스푼  ,이쁘다가도 카메라보면 소름이돋아 지들도 거슬리는지 광고보면 카툭튀 제거하는 사기를,"
        0
      "
203, minguk Park  ,일단 덧글달고본다,"
        0
      "
204, Woo Dong  ,프로슈머 동우 입니다 꼭 카메라 부분을 검은색으로 해야 할까요? 반사 때문이라고 하지만 전 나노 반사 사용 하면 춘분히 가능 하다 보내요 천재 분들이니 이해 하시라 보내요 다양항 색상 기다 할께요?,"
        2
      "
205, sr l  ,갤럭시 정말 고급스럽고 잘나왔네요!!,"
        4
      "
206, ᄋᄋ  ,s20 시장 망해서 제대로 이를 갈았구나 ㄷㄷ,"
        14
      "
207, Tj P  ,흠.....,"
        0
      "
208, EEEAAAOOO  ,667깔깔깔,"
        0
      "
209, 훈발놈  ,신호등 닮았다,"
        0
      "
210, COOLEE 쿨리  ,예약이요,"
        0
      "
211, 선정  ,아니진심 디자인 재고 부탁드립니다,"
        0
      "
